Security.evtx

1102	清理日志的日志
4624	账号成功登录
4625	账号登录失败
4720	创建用户
4722	启用用户
4726	删除用户
4700	已启用计划任务

4768	Kerberos身份验证（TGT请求）
4769	Kerberos服务票证请求
4776	NTLM身份验证
4672	授予特殊权限

4728	将成员添加到启用安全的全局组中
4729	将成员从安全的全局组中移除
4732	将成员添加到启用安全的本地组中
4733	将成员从启用安全的本地组中移除
4756	将成员添加到启用安全的通用组中
4757	将成员从启用安全的通用组中移除
4719	系统审计策略修改




登录失败4625报错
0xc0000064	用户名不存在
0xc000006a	用户名是正确的,但密码是错误的
0xc0000234	用户当前锁定
0xc0000072	帐户目前禁用
0xc000006f	用户试图登录天的外周或时间限制
0xc0000070	工作站的限制
0xc0000193	帐号过期
0xc0000071	过期的密码
0xc0000133	时钟之间的直流和其他电脑太不同步
0xc0000224	在下次登录用户需要更改密码
0xc0000225	显然一个缺陷在Windows和不是一个风险
0xc000015b	没有被授予该用户请求登录类型(又名登录正确的)在这台机器
0xc000006d	似乎是由于系统问题和不安全





System.evtx

104	记录所有审计日志清除事件
1074	关机、重启事件
6005	日志服务启动
6006	日志服务关闭



Microsoft-Windows-TerminalServices-LocalSessionManager%4Operational.evtx

25	RDP重连




Microsoft-Windows-TerminalServices-RemoteConnectionManager%4Operational.evtx


1149	RDP应用登录

















